"logPo2" " T/C" "Ox content" "Charge"  "relax number"  YSr2Cu175Fe125O7 weight: 0.1839 density:  6.00 molar mass:  557.2 cell volume: 0.480 Data: 16.05.2024 Time: 18:28:26
 -0.18171   949.3   7.08920    1.00609  46   4.88141
 -0.38619   900.4   7.09544    0.00000  47   4.88141
 -0.63405   850.4   7.10020    0.00000  48   4.88141
 -0.91368   800.9   7.10329    0.00000  49   4.88141
 -1.23709   750.7   7.10518    0.00000  50   4.88141
 -0.91732   799.7   7.10332    0.00000  51   4.88141
 -0.63553   849.0   7.10022    0.00000  52   4.88141
 -0.38872   899.3   7.09550    0.00000  53   4.88141
 -0.17523   950.1   7.08894    0.00000  54   6.08701
 -0.37409   949.8   7.07636   -1.22503  55   6.08701
 -0.59769   900.4   7.08069    0.00000  56   6.08701
 -0.87396   849.1   7.08387    0.00000  57   6.08701
 -1.15877   800.9   7.08568    0.00000  58   6.08701
 -1.48451   750.7   7.08676    0.00000  59   6.08701
 -1.16116   799.6   7.08569    0.00000  60   6.08701
 -0.86635   849.1   7.08380    0.00000  61   6.08701
 -0.60104   899.6   7.08074    0.00000  62   6.08701
 -0.35733   950.9   7.07592    0.00000  63   6.72737
 -0.60039   949.9   7.05976   -1.35382  64   6.72737
 -0.85023   900.0   7.06258    0.00000  65   6.72737
 -1.12901   850.4   7.06437    0.00000  66   6.72737
 -1.43428   799.9   7.06543    0.00000  67   6.72737
 -1.75232   751.0   7.06600    0.00000  68   6.72737
 -1.42995   799.7   7.06542    0.00000  69   6.72737
 -1.12221   850.1   7.06434    0.00000  70   6.72737
 -0.84459   899.7   7.06252    0.00000  71   6.72737
 -0.57715   951.0   7.05939    0.00000  72   6.15870
 -0.80724   949.9   7.04290   -1.23786  73   6.15870
 -1.07629   900.6   7.04476    0.00000  74   6.15870
 -1.37493   849.4   7.04589    0.00000  75   6.15870
 -1.68042   800.1   7.04649    0.00000  76   6.15870
 -1.99223   750.9   7.04680    0.00000  77   6.15870
 -1.67579   799.4   7.04648    0.00000  78   6.15870
 -1.36236   850.0   7.04585    0.00000  79   6.15870
 -1.07232   899.6   7.04474    0.00000  80   6.15870
 -0.79146   949.5   7.04275    0.00000  81   5.77594
 -0.88268   950.0   7.02534   -1.16182  82   5.77594
 -1.35462   900.0   7.02764    0.00000  83   5.77594
 -1.65024   850.3   7.02823    0.00000  84   5.77594
 -1.96622   799.8   7.02856    0.00000  85   5.77594
 -2.28734   750.7   7.02872    0.00000  86   5.77594
 -1.96049   799.4   7.02855    0.00000  87   5.77594
 -1.64109   849.9   7.02821    0.00000  88   5.77594
 -1.34061   899.4   7.02760    0.00000  89   5.77594
 -0.89568   949.1   7.02544    0.00000  90  11.14843
 -1.02801   949.2   6.99801   -1.80432  91  11.14843
 -1.66217   900.2   6.99994    0.00000  92  11.14843
 -2.16246   849.7   7.00036    0.00000  93  11.14843
 -2.50055   800.9   7.00046    0.00000  94  11.14843
 -2.85281   750.7   7.00051    0.00000  95  11.14843
 -2.50120   799.5   7.00046    0.00000  96  11.14843
 -2.15803   850.0   7.00035    0.00000  97  11.14843
 -1.64321   899.3   6.99992    0.00000  98  11.14843
 -1.00832   950.0   6.99790    0.00000  99  16.01792
 -1.33515   950.0   6.97098   -1.80406  100  16.01792
 -1.56077   900.5   6.97146    0.00000  101  16.01792
 -1.84838   849.7   6.97181    0.00000  102  16.01792
 -2.16974   799.2   6.97202    0.00000  103  16.01792
 -2.48992   750.2   6.97213    0.00000  104  16.01792
 -2.17833   800.4   6.97203    0.00000  105  16.01792
 -1.93160   849.6   6.97189    0.00000  106  16.01792
 -1.58854   901.0   6.97150    0.00000  107  16.01792
 -1.31973   949.4   6.97093    0.00000  108   5.79324
 -1.48525   949.5   6.95302   -1.16704  109   5.79324
 -1.72743   899.8   6.95338    0.00000  110   5.79324
 -2.01685   850.1   6.95363    0.00000  111   5.79324
 -2.33508   800.8   6.95377    0.00000  112   5.79324
 -2.68140   750.6   6.95384    0.00000  113   5.79324
 -2.33914   799.4   6.95377    0.00000  114   5.79324
 -2.01203   849.9   6.95362    0.00000  115   5.79324
 -1.70664   899.2   6.95335    0.00000  116   5.79324
 -1.47417   949.7   6.95300    0.00000  117   7.55639
 -1.69407   950.0   6.92950   -1.51954  118   7.55639
