"logPo2" " T/C" "Ox content" "Charge"  "relax number"  YSr2Cu175Fe125O7 weight: 0.2529 density:  5.50 molar mass:  557.2 cell volume: 0.530
 -1.068   949.5   7.00506    0.00000  1
 -1.009   949.7   7.00823    0.30060  2
 -0.823   949.8   7.01883    1.02610  3
 -0.640   949.8   7.02978    1.10574  4
 -0.465   949.4   7.04122    1.21345  5
 -0.294   949.7   7.05357    1.39032  6
 -0.105   949.6   7.06629    1.62845  7
  0.074   949.8   7.07754    1.73354  8
 -0.130   950.3   7.06493   -1.93446  9
 -0.371   949.8   7.04992   -1.90207  10
 -0.608   949.6   7.03566   -1.58170  11
 -0.834   949.8   7.02251   -1.33788  12
 -1.059   949.8   7.01013   -1.19508  13
 -1.260   949.4   6.99864   -1.06589  14
 -1.341   949.3   6.98671   -1.06253  15
 -1.437   949.6   6.97477   -1.06298  16
 -1.778   949.7   6.95217   -2.01597  17
 -2.059   949.5   6.93882   -1.18414  18
 -1.832   949.8   6.94834    0.84506  19
 -1.646   949.9   6.95668    0.74473  20
 -1.459   949.9   6.96561    0.80505  21
 -1.271   950.2   6.97510    0.86580  22
 -1.105   950.4   6.98512    0.92477  23
 -1.040   950.1   6.99757    1.11310  24
 -0.939   950.3   7.00977    1.11338  25
 -0.632   950.2   7.03025    2.01325  26
 -0.432   950.1   7.04236    1.31456  27
 -0.252   950.5   7.05338    1.31967  28
 -0.080   950.0   7.06433    1.46533  29
  0.092   950.2   7.07528    1.70827  30
 -0.089   900.5   7.08347    0.00000  31
  0.105   900.7   7.09612    1.99891  32
 -0.095   900.0   7.08351   -2.01450  33
 -0.327   900.3   7.06807   -2.00093  34
 -0.567   900.4   7.05271   -1.73198  35
 -0.794   900.3   7.03858   -1.45101  36
 -1.019   900.4   7.02539   -1.28201  37
 -1.241   899.9   7.01320   -1.14161  38
 -1.457   900.0   7.00194   -1.03021  39
 -1.675   899.9   6.99133   -0.95541  40
 -1.888   900.0   6.98145   -0.88197  41
 -2.019   900.0   6.97201   -0.83340  42
 -2.030   899.8   6.95748   -1.27266  43
 -2.245   900.0   6.94303   -1.27299  44
 -2.585   900.2   6.92951   -1.18945  45
 -2.365   900.1   6.93748    0.70103  46
 -2.179   900.1   6.94470    0.63662  47
 -1.989   900.3   6.95246    0.68698  48
 -1.805   900.1   6.96065    0.72810  49
 -1.618   899.9   6.96952    0.79273  50
 -1.443   900.1   6.97896    0.85040  51
 -1.330   900.5   6.98987    0.97559  52
 -1.172   900.6   7.00925    1.73794  53
 -0.883   900.4   7.03085    2.01558  54
 -0.655   900.0   7.04483    1.39986  55
 -0.470   900.7   7.05631    1.23261  56
 -0.296   900.3   7.06790    1.33904  57
 -0.116   900.2   7.07980    1.54625  58
  0.056   900.4   7.09123    1.72270  59
 -0.150   849.7   7.10005    0.00000  60
  0.050   850.8   7.11351    2.01486  61
 -0.151   850.2   7.10023   -2.00079  62
 -0.379   850.5   7.08410   -1.99981  63
 -0.615   850.2   7.06813   -1.75219  64
 -0.837   850.5   7.05333   -1.49331  65
 -1.062   850.0   7.03930   -1.34742  66
 -1.279   850.2   7.02633   -1.20595  67
 -1.499   850.4   7.01406   -1.11682  68
 -1.717   850.3   7.00268   -1.02195  69
 -1.934   850.1   6.99215   -0.93765  70
 -2.155   850.3   6.98235   -0.86721  71
 -2.372   850.2   6.97346   -0.78479  72
 -2.428   850.2   6.96518   -0.72583  73
 -2.484   850.0   6.95691   -0.72583  74
 -2.808   850.0   6.93408   -2.00300  75
 -3.224   850.0   6.91993   -1.24066  76
 -2.999   850.2   6.92678    0.60019  77
 -2.812   850.3   6.93289    0.53643  78
 -2.623   850.2   6.93942    0.57404  79
 -2.436   850.1   6.94635    0.60934  80
 -2.248   849.8   6.95377    0.65388  81
 -2.058   850.5   6.96170    0.70033  82
 -1.891   849.9   6.97006    0.74107  83
 -1.773   850.3   6.98011    0.88797  84
 -1.642   850.4   6.99730    1.51786  85
 -1.343   850.2   7.01971    2.00844  86
 -1.094   850.0   7.03431    1.34966  87
 -0.908   850.2   7.04571    1.08606  88
 -0.726   850.1   7.05760    1.17171  89
 -0.540   850.3   7.07004    1.29270  90
 -0.362   850.1   7.08259    1.39597  91
 -0.183   849.7   7.09538    1.56954  92
 -0.009   850.4   7.10801    1.76140  93
  0.156   850.2   7.12038    2.00345  94
 -0.043   800.6   7.13161    0.00000  95
  0.113   799.6   7.14514    2.01589  96
 -0.054   799.7   7.13215   -2.01477  97
 -0.245   800.5   7.11681   -2.01428  98
 -0.479   800.0   7.09953   -2.01441  99
 -0.702   800.2   7.08304   -1.72704  100
 -0.926   800.0   7.06723   -1.55447  101
 -1.145   799.8   7.05237   -1.40051  102
 -1.364   799.5   7.03844   -1.28098  103
 -1.581   799.7   7.02543   -1.17520  104
 -1.802   800.0   7.01324   -1.08961  105
 -2.026   800.0   7.00211   -0.98890  106
 -2.251   799.4   6.99206   -0.88803  107
 -2.464   799.9   6.98309   -0.79006  108
 -2.688   799.7   6.97463   -0.74410  109
 -2.900   799.6   6.96701   -0.66879  110
 -2.908   799.7   6.95980   -0.63142  111
 -2.966   799.4   6.95260   -0.63102  112
 -3.329   799.5   6.92965   -2.01195  113
 -3.768   799.4   6.91697   -1.11097  114
 -3.553   799.5   6.92276    0.50739  115
 -3.349   799.6   6.92815    0.47259  116
 -3.163   799.3   6.93346    0.46560  117
 -2.973   799.5   6.93917    0.50120  118
 -2.785   799.7   6.94522    0.53034  119
 -2.597   800.1   6.95166    0.56670  120
 -2.463   800.0   6.95855    0.60524  121
 -2.382   799.9   6.96889    0.90696  122
 -2.212   799.9   6.97917    0.90472  123
 -2.024   800.2   6.99136    1.07428  124
 -1.827   800.0   7.00431    1.14605  125
 -1.632   799.4   7.01740    1.16457  126
 -1.393   799.6   7.03063    1.19518  127
 -1.209   800.0   7.04158    1.00413  128
 -1.030   799.6   7.05331    1.09396  129
 -0.843   799.6   7.06616    1.23228  130
 -0.656   799.7   7.07933    1.31759  131
 -0.474   799.7   7.09274    1.41868  132
 -0.294   799.7   7.10647    1.56712  133
 -0.119   799.8   7.12041    1.75607  134
  0.045   799.7   7.13496    2.01450  135
 -0.183   750.3   7.14515    0.00000  136
 -0.012   751.0   7.16013    2.01409  137
  0.127   750.2   7.17372    2.00668  138
 -0.029   750.1   7.16094   -2.01466  139
 -0.184   750.3   7.14512   -2.01433  140
 -0.388   749.9   7.12834   -2.01460  141
 -0.636   749.9   7.11022   -1.98265  142
 -0.851   750.1   7.09417   -1.60602  143
 -1.061   749.9   7.07845   -1.49699  144
 -1.278   749.4   7.06297   -1.43232  145
 -1.485   749.9   7.04841   -1.31954  146
 -1.703   750.1   7.03412   -1.28007  147
 -1.928   750.0   7.02089   -1.17683  148
 -2.171   749.9   7.00905   -1.04844  149
 -2.381   749.6   6.99919   -0.86900  150
 -2.604   749.9   6.98978   -0.82807  151
 -2.827   750.2   6.98130   -0.74506  152
 -3.055   749.6   6.97364   -0.67259  153
 -3.270   750.0   6.96690   -0.59088  154
 -3.487   750.0   6.96060   -0.55182  155
 -3.584   750.0   6.95480   -0.50853  156
 -3.572   749.8   6.94899   -0.50845  157
 -3.946   749.9   6.92611   -2.00443  158
 -4.561   750.3   6.91384   -1.07532  159
 -4.347   749.8   6.91783    0.35009  160
 -4.184   749.5   6.92157    0.32736  161
 -3.972   749.3   6.92616    0.40176  162
 -3.772   749.9   6.93049    0.37981  163
 -3.573   749.8   6.93486    0.38264  164
 -3.367   750.1   6.93927    0.38666  165
 -3.177   750.1   6.94358    0.37867  166
 -3.085   750.1   6.94813    0.39883  167
 -3.004   750.2   6.95270    0.39994  168
 -2.873   750.0   6.96396    0.98716  169
 -2.530   749.9   6.98116    1.51038  170
 -2.278   749.9   6.99120    0.88389  171
 -2.062   749.6   6.99914    0.70376  172
 -1.870   750.0   7.00650    0.65536  173
 -1.690   750.0   7.01416    0.68620  174
 -1.507   749.9   7.02260    0.76322  175
 -1.321   750.1   7.03173    0.83643  176
 -1.141   749.8   7.04146    0.90670  177
 -0.959   750.0   7.05206    1.01212  178
 -0.782   750.2   7.06336    1.11299  179
 -0.610   749.6   7.07567    1.25706  180
 -0.438   749.8   7.08939    1.46672  181
 -0.266   750.1   7.10445    1.71367  182
 -0.106   750.2   7.12116    1.99911  183
  0.026   750.3   7.13705    2.01159  184
 -0.176   699.7   7.14620    0.00000  185
 -0.038   700.0   7.16252    2.01391  186
  0.086   700.2   7.17745    2.01469  187
 -0.051   700.2   7.16326   -2.01555  188
 -0.170   700.5   7.14593   -2.01484  189
 -0.315   700.2   7.12807   -2.01338  190
 -0.507   700.4   7.10972   -2.01364  191
 -0.754   700.6   7.09032   -2.01394  192
 -0.997   700.4   7.07364   -1.63709  193
 -1.233   700.0   7.05935   -1.35092  194
 -1.449   700.1   7.04681   -1.15159  195
 -1.678   700.0   7.03501   -1.06734  196
 -1.921   699.9   7.02457   -0.93585  197
 -2.110   700.0   7.01589   -0.77016  198
 -2.323   700.1   7.00664   -0.81669  199
 -2.560   700.0   6.99787   -0.77339  200
 -2.777   700.0   6.99040   -0.65621  201
 -3.015   700.0   6.98350   -0.60682  202
 -3.235   700.0   6.97766   -0.51166  203
 -3.452   699.6   6.97235   -0.46558  204
 -3.667   699.7   6.96743   -0.43184  205
 -3.864   699.6   6.96284   -0.40232  206
 -4.095   699.6   6.95814   -0.41110  207
 -4.318   699.8   6.95408   -0.35606  208
 -4.327   699.7   6.95040   -0.32256  209
 -4.340   699.5   6.94671   -0.32277  210
 -4.770   699.7   6.92387   -2.00032  211
 -4.064   700.1   6.93453    0.93320  212
 -4.014   700.0   6.93795    0.30018  213
 -4.031   699.9   6.94138    0.30008  214
 -3.331   699.8   6.96421    2.00080  215
 -3.158   700.0   6.97074    0.57236  216
 -2.934   699.9   6.97833    0.66564  217
 -2.670   700.2   6.98512    0.59691  218
 -2.497   699.7   6.99025    0.45168  219
 -2.309   699.7   6.99619    0.52434  220
 -2.121   699.9   7.00252    0.56081  221
 -1.936   700.0   7.00922    0.59591  222
 -1.751   700.3   7.01644    0.64695  223
 -1.574   699.8   7.02417    0.69840  224
 -1.389   699.7   7.03283    0.79088  225
 -1.210   699.8   7.04206    0.85724  226
 -1.036   699.6   7.05215    0.95506  227
 -0.858   699.7   7.06353    1.10587  228
 -0.685   700.3   7.07593    1.24462  229
 -0.515   700.3   7.08973    1.44000  230
 -0.352   700.2   7.10538    1.69532  231
 -0.192   700.6   7.12304    2.00918  232
 -0.061   700.6   7.13991    2.00913  233
  0.045   700.3   7.15644    2.00824  234
