"logPo2" " T/C" "Ox content" "Charge"  "relax number"  Ca3Co4O9 weight: 0.1406 density:  4.60 molar mass:  499.9 cell volume: 0.600
 -0.381   900.7   9.00001    0.00000  1
 -0.439   900.6   8.99572   -0.35120  2
 -0.518   900.5   8.98900   -0.50110  3
 -0.587   900.6   8.98166   -0.50107  4
 -0.630   900.4   8.97345   -0.50058  5
 -0.652   900.3   8.96470   -0.50117  6
 -0.688   900.3   8.95622   -0.50103  7
 -0.755   900.5   8.94823   -0.50107  8
 -0.836   900.8   8.94025   -0.50083  9
 -0.931   900.6   8.93223   -0.50117  10
 -1.027   900.6   8.92398   -0.50068  11
 -0.970   900.3   8.91418   -0.50115  12
 -0.984   900.0   8.90510   -0.50091  13
 -0.982   900.3   8.89584   -0.50128  14
 -0.987   899.9   8.88666   -0.50119  15
 -0.978   900.0   8.87734   -0.50084  16
 -0.975   900.0   8.86807   -0.50132  17
 -0.986   900.0   8.85896   -0.50105  18
 -0.991   900.0   8.84978   -0.50111  19
 -0.990   900.2   8.84052   -0.50122  20
 -0.992   900.0   8.83131   -0.50121  21
 -0.992   900.1   8.82209   -0.50074  22
 -0.993   900.0   8.81286   -0.50108  23
 -0.992   900.1   8.80362   -0.50110  24
 -0.995   900.0   8.79442   -0.50111  25
 -0.994   900.2   8.78517   -0.50129  26
 -0.994   900.1   8.77593   -0.50138  27
 -0.993   900.1   8.76669   -0.50113  28
 -0.994   900.2   8.75746   -0.50132  29
 -0.993   900.1   8.74822   -0.50099  30
 -0.995   900.0   8.73902   -0.50085  31
 -0.996   900.2   8.72979   -0.50135  32
 -0.996   900.0   8.72056   -0.50094  33
 -1.005   900.1   8.71141   -0.50116  34
 -0.999   900.0   8.70212   -0.50118  35
 -0.997   900.1   8.69286   -0.50119  36
 -0.997   900.3   8.68363   -0.50106  37
 -1.008   900.0   8.67451   -0.50084  38
 -0.998   899.9   8.66518   -0.50120  39
 -0.996   900.1   8.64670   -1.00206  40
 -0.999   900.2   8.62826   -1.00194  41
 -1.000   899.9   8.60981   -1.00203  42
 -0.996   900.2   8.59131   -1.00217  43
 -1.004   900.1   8.57285   -1.00579  44
 -0.996   900.3   8.55430   -1.00245  45
 -1.001   900.2   8.53589   -1.00239  46
 -0.998   900.2   8.51740   -1.00200  47
 -1.007   900.1   8.49901   -1.00268  48
 -0.998   900.4   8.48048   -1.00128  49
 -0.995   900.5   8.46198   -1.00206  50
 -0.998   900.1   8.44355   -1.00234  51
 -1.002   900.2   8.41589   -1.50268  52
 -1.001   900.3   8.38819   -1.50293  53
 -1.002   900.2   8.36051   -1.50277  54
 -1.013   900.2   8.33291   -1.50375  55
 -1.006   900.2   8.30513   -1.50373  56
 -1.008   900.3   8.27745   -1.50354  57
 -1.006   900.5   8.24974   -1.50318  58
 -1.011   900.3   8.20352   -2.51138  59
 -1.023   900.1   8.15734   -2.51215  60
 -1.016   900.3   8.11100   -2.51175  61
 -1.018   900.1   8.06471   -2.51359  62
 -1.024   900.3   8.01846   -2.51281  63
 -1.032   900.2   7.97226   -2.51161  64
 -1.040   900.0   7.92605   -2.51141  65
 -1.056   900.2   7.87992   -2.51148  66
 -1.076   900.2   7.83380   -2.51187  67
 -1.086   900.1   7.78758   -2.51291  68
 -1.136   900.1   7.74167   -2.51264  69
 -1.512   900.2   7.69717   -2.51140  70
 -1.890   900.3   7.67326   -1.33862  71
 -1.864   900.3   7.66012   -0.71123  72
 -1.858   900.3   7.64701   -0.71146  73
 -1.850   900.4   7.60070   -2.51253  74
 -1.848   900.4   7.55440   -2.51285  75
 -1.855   900.3   7.50832   -2.50174  76
 -1.855   900.4   7.46201   -2.51301  77
 -1.852   900.2   7.41572   -2.51231  78
 -1.857   900.3   7.36943   -2.51268  79
 -1.861   900.3   7.32313   -2.51305  80
 -1.867   900.3   7.27684   -2.51285  81
